roll,score, shooter
  1,  7,  1
  2,  7,  1
  3, 11,  1
  4,  6,  1
  5,  8,  1
  6,  6,  1
  7,  8,  1
  8,  6,  1
  9,  9,  1
 10,  9,  1
 11,  6,  1
 12,  9,  1
 13,  7,  2
 14,  7,  2
 15,  4,  2
 16,  8,  2
 17,  6,  2
 18,  9,  2
 19,  4,  2
 20,  8,  2
 21,  3,  2
 22,  8,  2
 23,  9,  2
 24, 11,  2
 25, 10,  2
 26,  7,  3
 27, 11,  3
 28,  7,  3
 29, 11,  3
 30,  7,  3
 31,  7,  3
 32,  6,  3
 33,  9,  3
 34, 11,  3
 35,  3,  3
 36,  4,  3
 37,  8,  3
 38,  8,  3
 39,  8,  3
 40, 11,  3
 41,  6,  3
 42, 10,  3
 43,  5,  3
 44,  2,  3
 45,  8,  3
 46,  7,  4
 47,  4,  4
 48,  4,  4
 49,  8,  4
 50, 10,  4
 51,  8,  4
 52,  6,  4
 53,  5,  4
 54,  8,  4
 55,  6,  4
 56,  7,  4
 57,  5,  4
 58, 10,  4
 59,  3,  4
 60,  3,  4
 61,  9,  4
 62,  7,  5
 63, 12,  5
 64,  9,  5
 65,  6,  5
 66, 11,  5
 67, 12,  5
 68,  5,  5
 69,  6,  5
 70,  2,  5
 71,  7,  6
 72,  7,  6
 73,  7,  6
 74,  9,  6
 75,  3,  6
 76,  4,  6
 77,  5,  6
 78,  7,  7
 79,  4,  7
 80,  5,  7
 81,  5,  7
 82,  8,  7
 83, 12,  7
 84,  2,  7
 85,  9,  7
 86,  5,  7
 87,  7,  8
 88, 11,  8
 89, 12,  8
 90,  8,  8
 91,  4,  8
 92,  6,  8
 93,  6,  8
 94, 10,  8
 95,  8,  8
 96,  8,  8
 97,  4,  8
 98, 10,  8
 99,  8,  8
100,  7,  8
