roll,score,point,shooter,streak,value,bank
  1,  8,  8,  1,  1,  0,300
  2,  6,  8,  1,  2,  7,307
  3,  6,  8,  1,  3,  7,314
  4,  6,  8,  1,  4,  7,321
  5,  7,  8,  1,  5,-31,290
  6,  7,  0,  2,  1,  5,295
  7,  5,  5,  2,  1,  0,295
  8,  8,  5,  2,  2,  7,302
  9, 10,  5,  2,  3,  0,302
 10,  8,  5,  2,  4,  7,309
 11,  5,  5,  2,  5, 20,329
 12,  7,  0,  2,  1,  5,334
 13,  3,  0,  2,  1, -5,329
 14,  6,  6,  2,  1,  0,329
 15,  8,  6,  2,  2,  7,336
 16,  5,  6,  2,  3,  7,343
 17, 11,  6,  2,  4,  0,343
 18,  6,  6,  2,  5, 17,360
 19,  8,  8,  2,  1,  0,360
 20,  5,  8,  2,  2,  7,367
 21,  6,  8,  2,  3,  7,374
 22,  6,  8,  2,  4,  7,381
 23,  8,  8,  2,  5, 17,398
 24,  9,  9,  2,  1,  0,398
 25,  3,  9,  2,  2,  0,398
 26,  2,  9,  2,  3,  0,398
 27,  7,  9,  2,  4,-32,366
 28,  8,  8,  3,  1,  0,366
 29, 11,  8,  3,  2,  0,366
 30,  6,  8,  3,  3,  7,373
 31,  7,  8,  3,  4,-31,342
 32,  7,  0,  4,  1,  5,347
 33, 10, 10,  4,  1,  0,347
 34,  5, 10,  4,  2,  7,354
 35,  7, 10,  4,  3,-37,317
 36, 11,  0,  5,  1,  5,322
 37,  4,  4,  5,  1,  0,322
 38,  4,  4,  5,  2, 25,347
 39,  3,  0,  5,  1, -5,342
 40, 11,  0,  5,  1,  5,347
 41,  7,  0,  5,  1,  5,352
 42, 10, 10,  5,  1,  0,352
 43,  4, 10,  5,  2,  0,352
 44,  3, 10,  5,  3,  0,352
 45,  5, 10,  5,  4,  7,359
 46,  9, 10,  5,  5,  7,366
 47,  9, 10,  5,  6,  7,373
 48,  5, 10,  5,  7,  7,380
 49,  8, 10,  5,  8,  7,387
 50,  8, 10,  5,  9,  7,394
 51,  8, 10,  5, 10,  7,401
 52,  7, 10,  5, 11,-37,364
 53,  7,  0,  6,  1,  5,369
 54,  4,  4,  6,  1,  0,369
 55, 10,  4,  6,  2,  0,369
 56, 10,  4,  6,  3,  0,369
 57,  6,  4,  6,  4,  7,376
 58, 10,  4,  6,  5,  0,376
 59,  8,  4,  6,  6,  7,383
 60,  9,  4,  6,  7,  7,390
 61,  6,  4,  6,  8,  7,397
 62,  8,  4,  6,  9,  7,404
 63,  8,  4,  6, 10,  7,411
 64,  9,  4,  6, 11,  7,418
 65,  3,  4,  6, 12,  0,418
 66,  6,  4,  6, 13,  7,425
 67,  7,  4,  6, 14,-37,388
 68,  6,  6,  7,  1,  0,388
 69,  6,  6,  7,  2, 17,405
 70,  7,  0,  7,  1,  5,410
 71,  7,  0,  7,  1,  5,415
 72,  9,  9,  7,  1,  0,415
 73,  7,  9,  7,  2,-32,383
 74,  3,  0,  8,  1, -5,378
 75, 11,  0,  8,  1,  5,383
 76,  7,  0,  8,  1,  5,388
 77,  5,  5,  8,  1,  0,388
 78,  9,  5,  8,  2,  7,395
 79,  6,  5,  8,  3,  7,402
 80, 11,  5,  8,  4,  0,402
 81,  5,  5,  8,  5, 20,422
 82, 12,  0,  8,  1, -5,417
 83, 11,  0,  8,  1,  5,422
 84, 10, 10,  8,  1,  0,422
 85,  6, 10,  8,  2,  7,429
 86,  5, 10,  8,  3,  7,436
 87,  6, 10,  8,  4,  7,443
 88, 12, 10,  8,  5,  0,443
 89, 10, 10,  8,  6, 25,468
 90,  5,  5,  8,  1,  0,468
 91,  4,  5,  8,  2,  0,468
 92,  3,  5,  8,  3,  0,468
 93,  5,  5,  8,  4, 20,488
 94,  9,  9,  8,  1,  0,488
 95,  4,  9,  8,  2,  0,488
 96,  8,  9,  8,  3,  7,495
 97,  9,  9,  8,  4, 20,515
 98,  8,  8,  8,  1,  0,515
 99, 11,  8,  8,  2,  0,515
100,  5,  8,  8,  3,  7,522
